,PCODE,타율,홈런,볼삼비,P/PA,초구,전체,컨택%,2S후커트%,2S후선구%,출루율
52,62415,0.28250000000000003,7.25,0.6282894736842105,4.115,25.625,44.85,86.10000000000001,83.275,33.5,0.3494675701839303
53,50730,0.265,9.0,0.3333333333333333,3.88,40.4,52.8,64.8,66.8,34.5,0.34375
54,64166,0.2425,4.5,0.4890829694323144,3.98,23.6,42.0,75.4,70.35,38.25,0.3636363636363637
55,67650,0.31,20.0,0.6116504854368932,3.75,37.3,47.7,77.1,73.1,39.4,0.3983050847457627
56,67598,0.268,23.0,0.24812030075187969,3.72,34.7,50.9,72.4,64.0,34.0,0.3320158102766799
57,69950,0.246,8.0,0.35294117647058826,3.8,45.1,53.4,69.4,70.0,31.2,0.3080357142857143
58,68345,0.3095,20.0,0.6484375,3.81,37.9,45.0,78.6,71.6,43.2,0.3917963224893918
59,78168,0.29400000000000004,2.75,1.152046783625731,3.876666666666667,22.633333333333336,41.03333333333334,85.8,83.13333333333334,36.93333333333333,0.3828972559029994
60,77532,0.32275,12.0,0.7684210526315789,3.8225000000000002,31.724999999999998,46.625,82.75,81.275,35.95,0.3958139534883721
61,76753,0.2653333333333333,11.333333333333336,0.20948616600790518,3.5,48.166666666666664,57.0,74.83333333333333,69.23333333333333,34.699999999999996,0.3045930701047543
62,69901,0.229,9.0,0.5161290322580645,3.76,23.3,44.0,82.2,78.9,33.6,0.2982456140350877
63,67935,0.257,26.0,0.3819444444444444,3.89,36.4,48.9,68.9,64.9,38.1,0.3455497382198953
64,62556,0.24175,3.5,0.4117647058823529,3.7300000000000004,31.150000000000002,48.1,81.0,75.85,32.75,0.33363309352517984
65,64006,0.261,3.5,0.366412213740458,3.95,26.0,47.550000000000004,82.825,81.925,27.424999999999997,0.30959949141767323
66,79608,0.317,10.25,0.791907514450867,3.69,19.549999999999997,43.224999999999994,83.69999999999999,82.225,32.55,0.3792895845875978
67,51004,0.271,7.0,0.44,3.92,25.3,49.0,78.1,74.8,31.0,0.336
68,50923,0.27899999999999997,24.5,0.30434782608695654,3.865,27.25,47.849999999999994,67.35,59.55,39.9,0.3555291319857313
69,64153,0.263,13.666666666666664,0.3407821229050279,4.05,21.0,49.55,76.30000000000001,77.6,30.95,0.3180396246089677
70,76232,0.34700000000000003,24.0,1.13125,3.6875,30.4,45.150000000000006,89.14999999999999,85.15,33.125,0.4318056322473771
71,78756,0.228,2.0,0.423611111111111,3.92,15.9,43.0,81.7,79.6,32.2,0.30223880597014924
72,77248,0.22125,5.75,0.3728813559322034,3.89,44.3,51.3,69.7,69.8,41.8,0.3254132231404959
73,75334,0.29,19.0,0.5459459459459459,3.8525,40.85,49.625,74.9,68.19999999999999,39.8,0.3766088416340235
74,79109,0.26675000000000004,8.75,0.460431654676259,4.04,33.15,45.975,76.45,72.92499999999998,37.25,0.35074626865671643
75,60558,0.2575,6.75,0.30522088353413657,3.686666666666667,34.93333333333333,49.43333333333334,76.43333333333334,70.03333333333333,35.9,0.3155127081507449
76,69569,0.251,9.0,0.5166666666666667,3.89,26.9,46.0,69.5,67.8,41.7,0.35074626865671643
77,61102,0.27,14.0,0.375886524822695,3.7625,19.200000000000003,47.95,78.32499999999999,76.825,30.35,0.33756038647342995
78,74339,0.30925,11.5,0.9096045197740112,3.9175,18.95,40.475,87.55000000000001,83.95,34.975,0.3872157344806392
79,74215,0.233,8.0,0.4666666666666666,3.78,26.9,45.7,81.0,79.5,33.3,0.3079947575360419
80,71564,0.30025,20.75,0.7043478260869566,3.625,28.299999999999997,47.724999999999994,82.025,80.675,33.849999999999994,0.373253493013972
81,76849,0.2985,2.5,0.7446808510638298,3.9475,17.95,42.025000000000006,86.675,82.9,31.900000000000002,0.37277777777777776
82,70756,0.2555,10.5,0.7258064516129032,3.9,27.6,44.2,80.0,76.0,41.3,0.36626506024096384
83,73136,0.23975,16.0,0.32320441988950277,3.81,45.20000000000001,52.333333333333336,67.2,62.5,35.333333333333336,0.3304597701149425
84,74163,0.2883333333333333,0.6666666666666666,1.2734375000000004,4.199999999999999,28.600000000000005,44.53333333333333,93.13333333333333,89.63333333333333,33.400000000000006,0.3850148367952522
85,75566,0.2695,14.75,0.5852842809364549,4.0075,21.9,43.72500000000001,79.65,75.575,38.7,0.3517121300058038
86,76812,0.26975,8.5,0.651685393258427,3.755,32.449999999999996,46.3,85.1,83.2,34.575,0.35142658315935976
87,67341,0.34225,7.5,1.1796407185628743,3.7950000000000004,15.65,38.575,91.75,86.79999999999998,34.475,0.40752941176470586
88,79456,0.302,0.75,0.5957446808510638,3.483333333333333,22.366666666666664,48.9,89.53333333333335,87.63333333333333,26.133333333333336,0.35200845665961944
89,99810,0.318,3.0,0.7142857142857143,3.65,23.4,45.3,87.8,81.5,31.8,0.3717948717948718
90,61186,0.28,2.25,0.7857142857142857,3.815,25.875,41.875,84.625,81.3,36.949999999999996,0.3690932311621967
91,73342,0.2505,2.0,0.6,3.78,28.1,42.5,81.1,80.3,36.3,0.3693045563549161
92,69453,0.25166666666666665,4.666666666666667,0.3695652173913044,3.87,36.05,49.150000000000006,72.30000000000001,69.94999999999999,35.0,0.32780612244897955
93,78135,0.27899999999999997,12.75,0.4921875,3.835,31.1,46.300000000000004,76.425,73.52499999999999,36.525,0.3663704716336295
94,64346,0.26866666666666666,4.333333333333333,0.20502092050209203,3.7199999999999998,40.7,51.95,69.35,65.65,31.25,0.3189368770764119
95,78548,0.2585,10.5,0.5057034220532319,3.9525,28.85,42.375,81.475,75.825,35.3,0.33175355450236965
96,79334,0.2,4.666666666666667,0.3724137931034482,4.04,24.7,44.1,78.9,76.5,36.5,0.3070044709388972
97,78513,0.3125,21.25,0.7121212121212122,3.7075,26.975,43.6,84.1,79.625,36.375,0.3765403925148334
98,75808,0.27399999999999997,5.0,0.6972477064220182,3.5999999999999996,28.799999999999997,44.150000000000006,84.4,79.4,34.65,0.3543743078626799
99,79231,0.28250000000000003,2.0,0.9144736842105263,3.91,18.7,42.7,86.45,83.95,33.1,0.3622409823484267
100,68743,0.26525,4.75,0.7068273092369478,4.2625,12.524999999999999,36.325,82.775,77.225,36.775,0.35479543930248153
101,75151,0.25525000000000003,8.0,0.4472049689440994,3.7466666666666666,29.433333333333334,48.79999999999999,81.3,78.76666666666667,29.933333333333334,0.3219178082191781
102,79150,0.24275,3.75,0.4330708661417323,3.8099999999999996,25.825000000000003,43.175,79.425,73.17500000000001,32.05,0.3098159509202454
103,61208,0.2535,1.25,0.5285714285714286,3.883333333333333,27.566666666666666,46.93333333333334,84.43333333333334,79.86666666666666,31.8,0.3337129840546697
104,60523,0.28975,7.25,0.5972222222222222,4.25,17.950000000000003,39.9,83.7,80.5,31.55,0.3764510779436153
105,64868,0.23025,0.0,0.8782051282051282,4.390000000000001,22.15,38.7,87.7,80.85,41.0,0.381
106,79192,0.31375000000000003,16.0,0.4109090909090909,3.7350000000000003,21.75,49.7,79.5,78.625,30.475,0.36784140969163
107,77463,0.275,9.0,0.40000000000000013,3.81,44.3,52.2,72.1,66.9,33.5,0.35678391959798994
108,67394,0.258,17.0,0.4177215189873418,3.94,22.4,45.0,77.1,72.0,32.0,0.3383458646616541
109,66606,0.2745,2.0,0.547486033519553,3.7625,36.375,48.9,84.80000000000001,82.94999999999999,26.65,0.3426415094339623
110,78288,0.26975,2.75,0.7093596059113301,4.0,18.125,42.974999999999994,84.525,80.4,36.1,0.3748221906116643
111,75847,0.27625,29.25,0.6621983914209115,3.9850000000000003,39.1,47.099999999999994,75.475,73.875,38.475,0.39704383282364936
112,76267,0.2925,14.0,0.6478260869565218,4.2125,13.600000000000001,43.325,87.02499999999999,84.15,29.025000000000002,0.3706697459584296
113,50854,0.2605,2.5,0.6666666666666666,3.875,29.549999999999997,43.6,85.3,81.55,31.299999999999997,0.33709273182957394
114,72443,0.299,19.0,0.8532423208191127,4.095,24.9,44.175000000000004,78.275,79.15,38.875,0.4199288256227758
115,51817,0.255,13.0,0.8115942028985508,4.18,23.2,39.2,74.0,62.9,43.6,0.40625
116,69652,0.2876666666666667,15.333333333333336,1.0344827586206895,3.903333333333333,29.566666666666663,44.300000000000004,82.3,81.93333333333334,39.43333333333334,0.3831705484598047
117,69209,0.3383333333333333,15.333333333333336,1.3739130434782605,3.5400000000000005,30.03333333333333,47.199999999999996,88.46666666666665,86.96666666666665,36.56666666666667,0.4106162294081757
118,51463,0.312,20.0,0.6666666666666666,3.79,18.5,44.3,79.1,77.5,37.8,0.3784530386740331
119,62700,0.27125,3.75,0.26277372262773724,3.76,43.73333333333333,55.06666666666666,74.63333333333334,71.3,30.53333333333333,0.3227792436235708
120,68525,0.23825,8.25,0.45353159851301117,3.9933333333333336,27.099999999999998,42.53333333333333,77.60000000000001,72.16666666666667,36.199999999999996,0.3284072249589491
121,79240,0.31675000000000003,6.25,0.8814814814814815,3.5875000000000004,15.275,43.375,89.325,88.6,31.200000000000003,0.3707214323328067
122,68730,0.2613333333333333,17.333333333333332,0.45161290322580644,3.71,30.15,47.7,78.35,74.4,35.0,0.3523357086302455
123,66108,0.25849999999999995,2.0,1.0066225165562914,4.279999999999999,18.95,36.8,84.05000000000001,79.2,42.349999999999994,0.4338153503893215
124,76313,0.3015,18.25,0.5246913580246914,3.9325,25.0,44.175,80.7,76.05,34.225,0.3663157894736842
125,51725,0.257,7.0,0.27586206896551724,3.88,23.5,46.7,75.7,72.6,27.5,0.3059701492537313
